label,subclass,target_name,run_id,group_id,frame_id,trajectory,tilt,roll,source_image,json_label,crop_type,x_min,y_min,x_max,y_max,file
UXO,100lbs_aircraft_bomb,100lbs_bomb,2023-09-20_171105,100lbs_bomb/2023-09-20_171105,0622,L to R (z: 750),-22°,0°,C:\Users\stephenxxy\Desktop\project\recordings\100lbs_bomb\2023-09-20_171105\gopro\0622.jpg,C:\Users\stephenxxy\Desktop\project\recordings\100lbs_bomb\2023-09-20_171105\labels\0622.json,bbox_x3_margin,587,348,1345,891,C:\Users\stephenxxy\Desktop\project\uxo_project\aux_recordings_optical_v1\UXO\100lbs_aircraft_bomb\100lbs_bomb__2023-09-20_171105__0622.jpg
UXO,100lbs_aircraft_bomb,100lbs_bomb,2023-09-20_171105,100lbs_bomb/2023-09-20_171105,0800,L to R (z: 750),-22°,0°,C:\Users\stephenxxy\Desktop\project\recordings\100lbs_bomb\2023-09-20_171105\gopro\0800.jpg,C:\Users\stephenxxy\Desktop\project\recordings\100lbs_bomb\2023-09-20_171105\labels\0800.json,bbox_x3_margin,522,420,1563,807,C:\Users\stephenxxy\Desktop\project\uxo_project\aux_recordings_optical_v1\UXO\100lbs_aircraft_bomb\100lbs_bomb__2023-09-20_171105__0800.jpg
UXO,100lbs_aircraft_bomb,100lbs_bomb,2023-09-20_171105,100lbs_bomb/2023-09-20_171105,0979,L to R (z: 750),-22°,0°,C:\Users\stephenxxy\Desktop\project\recordings\100lbs_bomb\2023-09-20_171105\gopro\0979.jpg,C:\Users\stephenxxy\Desktop\project\recordings\100lbs_bomb\2023-09-20_171105\labels\0979.json,bbox_x3_margin,346,440,1472,832,C:\Users\stephenxxy\Desktop\project\uxo_project\aux_recordings_optical_v1\UXO\100lbs_aircraft_bomb\100lbs_bomb__2023-09-20_171105__0979.jpg
UXO,100lbs_aircraft_bomb,100lbs_bomb,2023-09-20_171105,100lbs_bomb/2023-09-20_171105,1158,L to R (z: 750),-22°,0°,C:\Users\stephenxxy\Desktop\project\recordings\100lbs_bomb\2023-09-20_171105\gopro\1158.jpg,C:\Users\stephenxxy\Desktop\project\recordings\100lbs_bomb\2023-09-20_171105\labels\1158.json,bbox_x3_margin,376,393,1322,891,C:\Users\stephenxxy\Desktop\project\uxo_project\aux_recordings_optical_v1\UXO\100lbs_aircraft_bomb\100lbs_bomb__2023-09-20_171105__1158.jpg
UXO,100lbs_aircraft_bomb,100lbs_bomb,2023-09-20_171105,100lbs_bomb/2023-09-20_171105,1336,L to R (z: 750),-22°,0°,C:\Users\stephenxxy\Desktop\project\recordings\100lbs_bomb\2023-09-20_171105\gopro\1336.jpg,C:\Users\stephenxxy\Desktop\project\recordings\100lbs_bomb\2023-09-20_171105\labels\1336.json,bbox_x3_margin,663,374,1344,1060,C:\Users\stephenxxy\Desktop\project\uxo_project\aux_recordings_optical_v1\UXO\100lbs_aircraft_bomb\100lbs_bomb__2023-09-20_171105__1336.jpg
UXO,100lbs_aircraft_bomb,100lbs_bomb,2023-09-20_172513,100lbs_bomb/2023-09-20_172513,0144,L to R (z: 750),-22°,,C:\Users\stephenxxy\Desktop\project\recordings\100lbs_bomb\2023-09-20_172513\gopro\0144.jpg,C:\Users\stephenxxy\Desktop\project\recordings\100lbs_bomb\2023-09-20_172513\labels\0144.json,bbox_x3_margin,619,349,1289,932,C:\Users\stephenxxy\Desktop\project\uxo_project\aux_recordings_optical_v1\UXO\100lbs_aircraft_bomb\100lbs_bomb__2023-09-20_172513__0144.jpg
UXO,100lbs_aircraft_bomb,100lbs_bomb,2023-09-20_172513,100lbs_bomb/2023-09-20_172513,0329,L to R (z: 750),-22°,,C:\Users\stephenxxy\Desktop\project\recordings\100lbs_bomb\2023-09-20_172513\gopro\0329.jpg,C:\Users\stephenxxy\Desktop\project\recordings\100lbs_bomb\2023-09-20_172513\labels\0329.json,bbox_x3_margin,522,400,1497,821,C:\Users\stephenxxy\Desktop\project\uxo_project\aux_recordings_optical_v1\UXO\100lbs_aircraft_bomb\100lbs_bomb__2023-09-20_172513__0329.jpg
UXO,100lbs_aircraft_bomb,100lbs_bomb,2023-09-20_172513,100lbs_bomb/2023-09-20_172513,0514,L to R (z: 750),-22°,,C:\Users\stephenxxy\Desktop\project\recordings\100lbs_bomb\2023-09-20_172513\gopro\0514.jpg,C:\Users\stephenxxy\Desktop\project\recordings\100lbs_bomb\2023-09-20_172513\labels\0514.json,bbox_x3_margin,345,442,1479,818,C:\Users\stephenxxy\Desktop\project\uxo_project\aux_recordings_optical_v1\UXO\100lbs_aircraft_bomb\100lbs_bomb__2023-09-20_172513__0514.jpg
UXO,100lbs_aircraft_bomb,100lbs_bomb,2023-09-20_172513,100lbs_bomb/2023-09-20_172513,0699,L to R (z: 750),-22°,,C:\Users\stephenxxy\Desktop\project\recordings\100lbs_bomb\2023-09-20_172513\gopro\0699.jpg,C:\Users\stephenxxy\Desktop\project\recordings\100lbs_bomb\2023-09-20_172513\labels\0699.json,bbox_x3_margin,470,389,1453,895,C:\Users\stephenxxy\Desktop\project\uxo_project\aux_recordings_optical_v1\UXO\100lbs_aircraft_bomb\100lbs_bomb__2023-09-20_172513__0699.jpg
UXO,100lbs_aircraft_bomb,100lbs_bomb,2023-09-20_172513,100lbs_bomb/2023-09-20_172513,0884,L to R (z: 750),-22°,,C:\Users\stephenxxy\Desktop\project\recordings\100lbs_bomb\2023-09-20_172513\gopro\0884.jpg,C:\Users\stephenxxy\Desktop\project\recordings\100lbs_bomb\2023-09-20_172513\labels\0884.json,bbox_x3_margin,609,375,1290,1053,C:\Users\stephenxxy\Desktop\project\uxo_project\aux_recordings_optical_v1\UXO\100lbs_aircraft_bomb\100lbs_bomb__2023-09-20_172513__0884.jpg
